project_id,purpose,purpose_grp,purpose_share
AK0001,business,business,1.0
AK0002,business,business,1.0
AK0003,re_construction,re_construction,1.0
AK0004,business,business,1.0
AK0006,business,business,1.0
AK0007,business,business,1.0
AK0008,re_rehab,re_rehab,1.0
AK0009,business,business,1.0
AK0010,re_rehab,re_rehab,1.0
AK0011,business,business,1.0
AK0012,business,business,1.0
AK0013,business,business,1.0
AK0014,business,business,1.0
AK0015,business,business,0.7518610421836228
AK0016,business,business,1.0
AK0017,business,business,1.0
AK0018,business,business,1.0
AK0019,business,business,1.0
AK0020,business,business,1.0
AK0021,business,business,1.0
AK0022,business,business,1.0
AK0025,business,business,1.0
AK0026,business,business,1.0
AK0027,business,business,1.0
AK0029,business,business,0.5649200096909
AK0030,re_construction,re_construction,1.0
AK0032,re_construction,re_construction,1.0
AK0033,business,business,1.0
AK0034,business,business,1.0
AK0035,business,business,1.0
AK0036,business,business,1.0
AK0037,re_construction,re_construction,1.0
AK0038,business,business,1.0
AK0039,business,business,1.0
AK0040,re_construction,re_construction,1.0
AL0001,re_rehab,re_rehab,1.0
AL0002,re_rehab,re_rehab,1.0
AL0003,re_construction,re_construction,1.0
AL0004,re_construction,re_construction,1.0
AL0005,housing_sf_new,housing_sf_new,1.0
AL0006,re_construction,re_construction,1.0
AL0007,business,business,1.0
AL0008,re_construction,re_construction,1.0
AL0009,business,business,1.0
AL0010,business,business,1.0
AL0011,housing_sf_new,housing_sf_new,1.0
AL0012,business,business,1.0
AL0013,business,business,1.0
AL0014,re_construction,re_construction,0.6575342465753424
AL0015,business,business,1.0
AL0016,re_construction,re_construction,1.0
AL0017,business,business,1.0
AL0018,business,business,1.0
AL0019,business,business,1.0
AL0020,re_construction,re_construction,1.0
AL0021,business,business,1.0
AL0022,business,business,0.75
AL0023,business,business,1.0
AL0024,business,business,1.0
AL0025,re_rehab,re_rehab,1.0
AL0026,re_construction,re_construction,1.0
AL0027,business,business,1.0
AL0028,business,business,1.0
AL0029,business,business,1.0
AL0030,business,business,1.0
AL0031,business,business,1.0
AL0032,re_construction,re_construction,1.0
AL0033,business,business,1.0
AL0034,business,business,1.0
AL0035,business,business,1.0
AL0036,business,business,1.0
AL0037,business,business,1.0
AL0038,business,business,1.0
AL0039,re_construction,re_construction,1.0
AL0040,re_rehab,re_rehab,1.0
AL0041,re_rehab,re_rehab,1.0
AL0042,business,business,1.0
AL0043,business,business,1.0
AL0044,business,business,1.0
AL0045,business,business,1.0
AL0046,business,business,0.5303760848601736
AL0047,re_construction,re_construction,1.0
AL0048,business,business,1.0
AL0049,business,business,1.0
AL0050,business,business,1.0
AL0051,business,business,1.0
AL0052,business,business,1.0
AL0053,business,business,1.0
AL0054,business,business,1.0
AL0055,re_construction,re_construction,1.0
AL0056,business,business,1.0
AL0058,re_rehab,re_rehab,1.0
AL0059,business,business,1.0
AL0060,business,business,1.0
AL0061,business,business,1.0
AL0062,business,business,1.0
AL0063,business,business,0.6524297297431493
AL0064,re_rehab,re_rehab,1.0
AL0065,re_rehab,re_rehab,1.0
AL0066,business,business,1.0
AL0067,re_construction,re_construction,1.0
AL0068,re_construction,re_construction,1.0
AL0069,re_construction,re_construction,1.0
AL0070,re_construction,re_construction,0.6509349955476402
AL0071,business,business,1.0
AL0072,re_construction,re_construction,0.9113475177304965
AL0073,business,business,1.0
AL0074,re_construction,re_construction,1.0
AL0075,re_rehab,re_rehab,0.5261180007515971
AL0076,re_construction,re_construction,1.0
AL0077,business,business,1.0
AL0078,business,business,1.0
AL0079,business,business,1.0
AL0080,re_construction,re_construction,1.0
AL0081,re_rehab,re_rehab,1.0
AL0082,business,business,1.0
AL0083,business,business,1.0
AL0084,re_construction,re_construction,1.0
AL0085,re_construction,re_construction,1.0
AL0086,business,business,1.0
AL0088,re_construction,re_construction,1.0
AL0089,business,business,1.0
AL0090,business,business,1.0
AL0091,re_construction,re_construction,1.0
AL0092,re_construction,re_construction,1.0
AL0094,business,business,1.0
AL0096,business,business,1.0
AL0097,re_construction,re_construction,1.0
AL0098,business,business,1.0
AL0104,re_construction,re_construction,1.0
AL0106,business,business,1.0
AL0107,business,business,1.0
AL0108,re_construction,re_construction,0.768025078369906
AL0109,business,business,1.0
AL0110,business,business,1.0
AL0111,business,business,1.0
AL0112,business,business,1.0
AL0113,business,business,1.0
AL0114,business,business,1.0
AL0115,re_construction,re_construction,1.0
AL0116,business,business,1.0
AL0117,business,business,1.0
AL0118,business,business,1.0
AL0119,re_rehab,re_rehab,1.0
AL0120,re_construction,re_construction,0.9171548117154812
AL0121,re_rehab,re_rehab,1.0
AL0122,re_rehab,re_rehab,1.0
AL0123,business,business,0.50036469730124
AL0124,re_construction,re_construction,1.0
AL0125,business,business,1.0
AL0126,business,business,1.0
AL0127,re_rehab,re_rehab,1.0
AL0128,business,business,1.0
AL0129,business,business,1.0
AL0130,business,business,1.0
AL0131,business,business,0.5334292970885611
AL0132,business,business,1.0
AL0133,re_rehab,re_rehab,1.0
AL0134,re_construction,re_construction,1.0
AL0135,business,business,0.640498899486427
AL0136,re_construction,re_construction,1.0
AL0137,business,business,1.0
AL0138,business,business,0.7442455242966752
AL0139,re_construction,re_construction,1.0
AL0140,re_construction,re_construction,1.0
AL0141,re_construction,re_construction,1.0
AL0142,re_rehab,re_rehab,1.0
AL0143,re_construction,re_construction,1.0
AL0144,business,business,0.6970867784560698
AL0145,business,business,1.0
AL0146,re_rehab,re_rehab,1.0
AL0147,re_rehab,re_rehab,1.0
AL0148,business,business,1.0
AL0149,re_construction,re_construction,1.0
AL0151,business,business,0.5453247680228408
AL0163,re_construction,re_construction,0.7085244346038273
AL0164,re_construction,re_construction,1.0
AL0165,re_rehab,re_rehab,1.0
AL0166,business,business,1.0
AL0167,business,business,1.0
AL0168,re_construction,re_construction,1.0
AL0169,business,business,1.0
AL0170,business,business,1.0
AL0171,business,business,1.0
AL0172,business,business,1.0
AL0173,business,business,1.0
AL0174,business,business,1.0
AR0001,business,business,1.0
AR0002,business,business,1.0
AR0003,re_construction,re_construction,1.0
AR0004,business,business,1.0
AR0005,business,business,1.0
AR0006,re_construction,re_construction,1.0
AR0007,re_construction,re_construction,1.0
AR0008,re_construction,re_construction,1.0
AR0009,business,business,1.0
AR0010,re_construction,re_construction,1.0
AR0011,business,business,1.0
AR0012,business,business,1.0
AR0013,business,business,1.0
AR0015,housing_sf_new,housing_sf_new,1.0
AR0016,business,business,1.0
AR0017,business,business,1.0
AR0018,business,business,1.0
AR0019,business,business,1.0
AR0020,business,business,1.0
AR0021,re_rehab,re_rehab,1.0
AR0022,re_construction,re_construction,1.0
AR0023,re_construction,re_construction,1.0
AR0024,re_construction,re_construction,1.0
AR0025,re_rehab,re_rehab,0.5
AR0026,re_rehab,re_rehab,1.0
AR0027,business,business,1.0
AR0029,business,business,1.0
AR0030,re_construction,re_construction,1.0
AR0031,re_rehab,re_rehab,1.0
AR0032,business,business,1.0
AR0033,business,business,1.0
AR0034,business,business,1.0
AR0035,business,business,0.8902238682949882
