project_id,tract_fips,metro_flag,year,cde_name,project_qlici,project_cost,city,state,zip,qalicb_type,multi_cde,multi_tract,metro,leverage_ratio,leverage_win
AK0001,2070000100,Non-metro,2008,"Alaska Growth Capital BIDCO, Inc.",300000.0,300000.0,Aleknagik,Alaska,99555,NRE,NO,NO,non_metro,1.0,1.0
AK0002,2020001000,Metro,2006,"Alaska Growth Capital BIDCO, Inc.",1008750.0,1345000.0,Anchorage,Alaska,99501,NRE,NO,NO,metro,1.3333333333333333,1.3333333333333333
AK0003,2020000602,Metro,2006,"HEDC New Markets, Inc",5061506.0,8694457.0,Anchorage,Alaska,99508,NRE,NO,NO,metro,1.7177608798646096,1.7177608798646096
AK0004,2020001000,Metro,2006,"Alaska Growth Capital BIDCO, Inc.",187500.0,250000.0,Anchorage,Alaska,99501,NRE,NO,NO,metro,1.3333333333333333,1.3333333333333333
AK0006,2020001802,Metro,2006,"Alaska Growth Capital BIDCO, Inc.",750000.0,1180000.0,Anchorage,Alaska,99507,NRE,NO,NO,metro,1.5733333333333333,1.5733333333333333
AK0007,2020001900,Metro,2006,"Alaska Growth Capital BIDCO, Inc.",127500.0,150000.0,Anchorage,Alaska,99503,NRE,NO,NO,metro,1.1764705882352942,1.1764705882352942
AK0008,2020001000,Metro,2007,"USBCDE, LLC",8082700.0,14426408.0,Anchorage,Alaska,99501,RE,NO,NO,metro,1.7848501119675355,1.7848501119675355
AK0009,2020001900,Metro,2006,"Alaska Growth Capital BIDCO, Inc.",450000.0,600000.0,Anchorage,Alaska,99503,NRE,NO,NO,metro,1.3333333333333333,1.3333333333333333
AK0010,2020000601,Metro,2007,"Consortium America, LLC",5688960.0,16629424.0,Anchorage,Alaska,99501,RE,NO,NO,metro,2.9231043986950165,2.9231043986950165
AK0011,2020001100,Metro,2006,"Alaska Growth Capital BIDCO, Inc.",225000.0,300000.0,Anchorage,Alaska,99501,NRE,NO,NO,metro,1.3333333333333333,1.3333333333333333
AK0012,2020002100,Metro,2006,"Alaska Growth Capital BIDCO, Inc.",607500.0,875000.0,Anchorage,Alaska,99517,NRE,NO,NO,metro,1.440329218106996,1.440329218106996
AK0013,2020001900,Metro,2006,"Alaska Growth Capital BIDCO, Inc.",750000.0,1000000.0,Anchorage,Alaska,99503,NRE,NO,NO,metro,1.3333333333333333,1.3333333333333333
AK0014,2020001100,Metro,2006,"Alaska Growth Capital BIDCO, Inc.",206250.0,390000.0,Anchorage,Alaska,99501,NRE,NO,NO,metro,1.8909090909090909,1.8909090909090909
AK0015,2050000100,Non-metro,2009,Capital Impact Partners,40300000.0,40302935.0,Platinum,Alaska,99651,NRE,YES,YES,non_metro,1.0000728287841192,1.0000728287841192
AK0016,2020001100,Metro,2006,"Alaska Growth Capital BIDCO, Inc.",1500000.0,2250000.0,Anchorage,Alaska,99501,NRE,NO,NO,metro,1.5,1.5
AK0017,2020000601,Metro,2006,"Alaska Growth Capital BIDCO, Inc.",296250.0,395000.0,Anchorage,Alaska,99501,NRE,NO,NO,metro,1.3333333333333333,1.3333333333333333
AK0018,2050000100,Non-metro,2006,"Alaska Growth Capital BIDCO, Inc.",337500.0,450000.0,Kwethluk,Alaska,99621,NRE,NO,NO,non_metro,1.3333333333333333,1.3333333333333333
AK0019,2090000100,Metro,2006,"Alaska Growth Capital BIDCO, Inc.",431250.0,575000.0,Fairbanks,Alaska,99701,NRE,NO,NO,metro,1.3333333333333333,1.3333333333333333
AK0020,2090000300,Metro,2006,"Alaska Growth Capital BIDCO, Inc.",495000.0,660000.0,Fairbanks,Alaska,99701,NRE,NO,NO,metro,1.3333333333333333,1.3333333333333333
AK0021,2290000200,Non-metro,2006,"Alaska Growth Capital BIDCO, Inc.",1200000.0,1600000.0,Stevens Village,Alaska,99774,NRE,NO,NO,non_metro,1.3333333333333333,1.3333333333333333
AK0022,2188000200,Non-metro,2010,"Alaska Growth Capital BIDCO, Inc.",17460995.0,24000000.0,Kotzebue,Alaska,99752,NRE,NO,NO,non_metro,1.3744921180035845,1.3744921180035845
AK0025,2170000102,Metro,2006,"Alaska Growth Capital BIDCO, Inc.",348750.0,465000.0,Talkeetna,Alaska,99676,NRE,NO,NO,metro,1.3333333333333333,1.3333333333333333
AK0026,2122000100,Non-metro,2004,"Alaska Growth Capital BIDCO, Inc.",1000000.0,1000000.0,Tyonek,Alaska,99682,NRE,NO,NO,non_metro,1.0,1.0
AK0027,2180000100,Non-metro,2004,"Alaska Growth Capital BIDCO, Inc.",2138132.6,2138132.6,Unalakleet,Alaska,99684,NRE,NO,NO,non_metro,1.0,1.0
AK0029,2020001300,Metro,2011,"Waveland Community Development, LLC",140523585.0,95444285.0,Anchorage,Alaska,99509,NRE,YES,YES,metro,0.6792047399018464,1.0
AK0030,2290000300,Non-metro,2011,"Travois New Markets, LLC",7644000.0,7800000.0,Galena,Alaska,99741,NRE,NO,NO,non_metro,1.0204081632653061,1.0204081632653061
AK0032,2020001100,Metro,2012,"Consortium America, LLC",17300000.0,22104901.0,Anchorage,Alaska,99501,RE,YES,NO,metro,1.2777399421965319,1.2777399421965319
AK0033,2020000601,Metro,2006,"Alaska Growth Capital BIDCO, Inc.",150000.0,200000.0,Anchorage,Alaska,99501,NRE,NO,NO,metro,1.3333333333333333,1.3333333333333333
AK0034,2020000601,Metro,2006,"Alaska Growth Capital BIDCO, Inc.",297000.0,396000.0,Anchorage,Alaska,99501,NRE,NO,NO,metro,1.3333333333333333,1.3333333333333333
