year,metro,n,qlici_m
2001,metro,2,3.7
2002,metro,3,11.4
2003,metro,10,32.8
2003,non_metro,5,10.0
2004,metro,228,992.3
2004,non_metro,57,48.8
2005,metro,521,1903.9
2005,non_metro,74,219.8
2006,metro,644,2693.2
2006,non_metro,98,134.9
2007,metro,906,2912.3
2007,non_metro,115,261.5
2008,metro,817,3013.6
2008,non_metro,139,269.9
2009,metro,795,2991.7
2009,non_metro,93,283.1
2010,metro,894,4020.1
2010,non_metro,160,931.9
2011,metro,1111,4692.8
2011,non_metro,199,834.3
2012,metro,1012,4053.3
2012,non_metro,227,954.7
2013,metro,910,3049.1
2013,non_metro,258,1036.0
2014,metro,851,2340.4
2014,non_metro,242,918.3
2015,metro,903,2473.5
2015,non_metro,259,718.4
2016,metro,800,1979.2
2016,non_metro,219,622.8
2017,metro,1135,3239.6
2017,non_metro,271,938.6
2018,metro,1173,3071.1
2018,non_metro,304,1024.5
2019,metro,865,2433.9
2019,non_metro,270,889.1
2020,metro,836,2587.4
2020,non_metro,265,811.9
2021,metro,781,2323.0
2021,non_metro,303,1187.1
2022,metro,866,2757.2
2022,non_metro,286,940.2
